Category: All categories

Week,R: (Worldwide),Python: (Worldwide),Java: (Worldwide)
2021-05-16,11,54,40
2021-05-23,10,51,41
2021-05-30,11,52,40
2021-06-06,11,53,39
2021-06-13,10,52,41
2021-06-20,10,54,40
2021-06-27,10,50,38
2021-07-04,10,50,37
2021-07-11,10,52,39
2021-07-18,10,51,37
2021-07-25,10,49,36
2021-08-01,10,51,37
2021-08-08,10,47,36
2021-08-15,10,49,36
2021-08-22,10,49,37
2021-08-29,11,51,39
2021-09-05,11,55,39
2021-09-12,12,59,40
2021-09-19,12,59,43
2021-09-26,12,61,43
2021-10-03,12,62,43
2021-10-10,13,62,41
2021-10-17,13,64,46
2021-10-24,13,63,42
2021-10-31,12,62,40
2021-11-07,13,64,41
2021-11-14,13,65,44
2021-11-21,13,59,43
2021-11-28,13,62,44
2021-12-05,12,60,45
2021-12-12,12,62,47
2021-12-19,11,53,38
2021-12-26,9,47,31
2022-01-02,11,67,45
2022-01-09,12,73,48
2022-01-16,12,74,49
2022-01-23,13,82,52
2022-01-30,13,77,51
2022-02-06,14,85,57
2022-02-13,15,100,60
2022-02-20,15,91,58
2022-02-27,15,90,60
2022-03-06,15,93,59
2022-03-13,15,89,59
2022-03-20,16,94,60
2022-03-27,16,100,60
2022-04-03,15,97,60
2022-04-10,14,85,54
2022-04-17,15,93,59
2022-04-24,17,97,58
2022-05-01,14,86,53
2022-05-08,15,93,60
2022-05-15,15,89,59
2022-05-22,13,80,56
2022-05-29,13,79,50
2022-06-05,13,79,53
2022-06-12,13,79,52
2022-06-19,13,81,53
2022-06-26,12,79,52
2022-07-03,12,79,50
2022-07-10,12,80,50
2022-07-17,12,84,54
2022-07-24,12,78,52
2022-07-31,12,77,50
2022-08-07,12,78,49
2022-08-14,12,78,48
2022-08-21,12,85,52
2022-08-28,13,77,50
2022-09-04,13,79,53
2022-09-11,14,95,54
2022-09-18,14,91,57
2022-09-25,14,92,56
2022-10-02,14,87,51
2022-10-09,15,95,56
2022-10-16,14,92,57
2022-10-23,15,89,52
2022-10-30,14,94,55
2022-11-06,14,91,54
2022-11-13,15,98,59
2022-11-20,14,84,53
2022-11-27,15,92,53
2022-12-04,15,91,52
2022-12-11,15,96,56
2022-12-18,12,73,44
